Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered,Total staff cases as at 13 Sep 2022,Total staff cases as at 20 Sep 2022,Total staff cases as at 21 Sep 2022,Total staff cases as at 28 Sep 2022,Total staff cases as at 05 Oct 2022,Total staff cases as at 12 Oct 2022,Total staff cases as at 19 Oct 2022,Total staff cases as at 26 Oct 2022,Total staff cases as at 02 Nov 2022,Total staff cases as at 09 Nov 2022,Total staff cases as at 16 Nov 2022,Total staff cases as at 23 Nov 2022,Total staff cases as at 30 Nov 2022
Australia,657.0,1465.0,793.0,2021-10-28,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-28,,,,,,,,,,,,,,
VIC,353.0,1368.0,699.0,2021-10-28,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-28,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-28,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-28,,,,,,,,,,,,,,
NSW,304.0,89.0,85.0,2021-10-28,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-28,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-28,,,,,,,,,,,,,,
VIC,359.0,1368.0,701.0,2021-10-29,,,,,,,,,,,,,,
Australia,658.0,1465.0,797.0,2021-10-29,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-29,,,,,,,,,,,,,,
NSW,304.0,89.0,87.0,2021-10-29,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-29,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-29,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-29,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-29,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-29,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-30,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-30,,,,,,,,,,,,,,
VIC,359.0,1368.0,701.0,2021-10-30,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-30,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-30,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-30,,,,,,,,,,,,,,
NSW,304.0,89.0,87.0,2021-10-30,,,,,,,,,,,,,,
Australia,658.0,1465.0,797.0,2021-10-30,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-30,,,,,,,,,,,,,,
Australia,658.0,1465.0,797.0,2021-10-31,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-31,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-31,,,,,,,,,,,,,,
VIC,359.0,1368.0,701.0,2021-10-31,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-31,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-31,,,,,,,,,,,,,,
NSW,304.0,89.0,87.0,2021-10-31,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-10-31,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-31,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-01,,,,,,,,,,,,,,
NSW,306.0,89.0,88.0,2021-11-01,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-01,,,,,,,,,,,,,,
Australia,697.0,1487.0,806.0,2021-11-01,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-01,,,,,,,,,,,,,,
VIC,391.0,1390.0,709.0,2021-11-01,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-01,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-01,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-01,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-02,,,,,,,,,,,,,,
NSW,305.0,89.0,89.0,2021-11-02,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-02,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-02,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-02,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-02,,,,,,,,,,,,,,
Australia,707.0,1487.0,810.0,2021-11-02,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-02,,,,,,,,,,,,,,
VIC,402.0,1390.0,712.0,2021-11-02,,,,,,,,,,,,,,
NSW,293.0,100.0,90.0,2021-11-03,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-03,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-03,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-03,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-03,,,,,,,,,,,,,,
Australia,680.0,1530.0,812.0,2021-11-03,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-03,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-03,,,,,,,,,,,,,,
VIC,387.0,1422.0,713.0,2021-11-03,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-04,,,,,,,,,,,,,,
Australia,683.0,1548.0,815.0,2021-11-04,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-04,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-04,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-04,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-04,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-04,,,,,,,,,,,,,,
NSW,283.0,110.0,91.0,2021-11-04,,,,,,,,,,,,,,
VIC,400.0,1430.0,715.0,2021-11-04,,,,,,,,,,,,,,
NSW,281.0,110.0,93.0,2021-11-05,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-05,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-05,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-05,,,,,,,,,,,,,,
VIC,410.0,1432.0,717.0,2021-11-05,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-05,,,,,,,,,,,,,,
Australia,691.0,1550.0,819.0,2021-11-05,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-05,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-05,,,,,,,,,,,,,,
Australia,691.0,1550.0,819.0,2021-11-06,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-06,,,,,,,,,,,,,,
NSW,281.0,110.0,93.0,2021-11-06,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-06,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-06,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-06,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-06,,,,,,,,,,,,,,
VIC,410.0,1432.0,717.0,2021-11-06,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-06,,,,,,,,,,,,,,
NSW,281.0,110.0,93.0,2021-11-07,,,,,,,,,,,,,,
Australia,691.0,1550.0,819.0,2021-11-07,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-07,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-07,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-07,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-07,,,,,,,,,,,,,,
VIC,410.0,1432.0,717.0,2021-11-07,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-07,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-07,,,,,,,,,,,,,,
