Local Government Area,Overseas acquired,Locally acquired—contact known,Locally acquired—no known contact,Interstate acquired,Under investigation,Total,Date
Redland City,28,14,5,2,375,424,2022-01-02
Rockhampton Regional,21,31,5,1,27,85,2022-01-02
Scenic Rim Regional,4,4,1,0,41,50,2022-01-02
Somerset Regional,3,2,1,1,21,28,2022-01-02
South Burnett Regional,2,1,0,1,21,25,2022-01-02
Southern Downs Regional,2,4,2,3,27,38,2022-01-02
Sunshine Coast Regional,82,69,36,19,558,764,2022-01-02
Tablelands Regional,5,5,0,0,6,16,2022-01-02
Toowoomba Regional,42,61,12,10,338,463,2022-01-02
Torres Shire,1,0,0,0,11,12,2022-01-02
Townsville City,31,11,5,4,128,179,2022-01-02
Weipa Town,0,0,0,0,3,3,2022-01-02
Western Downs Regional,3,3,1,1,28,36,2022-01-02
Whitsunday Regional,7,8,13,0,165,193,2022-01-02
Total,1592,1247,600,264,16004,19707,2022-01-02
